date,HUFL,HULL,LUFL,LULL,hour,is_peak_hour,is_night,dayofweek,month,OT_roll_mean_12,is_summer,is_winter,monthly_temp_anomaly
2016-07-01 00:00:00,0.6155987153152651,0.4549428338960728,0.5565764992684863,0.6137650103979538,0,0,1,4,7,0.5463460230071732,1,0,0.0621090292807794
2016-07-01 01:00:00,0.6127076623320401,0.4594485440930541,0.550278763400676,0.6207833526509776,1,0,1,4,7,0.5463460230071732,1,0,0.0073243648558226
2016-07-01 02:00:00,0.6011434812623875,0.4369199690578548,0.5125954840430011,0.5861444585547602,2,0,1,4,7,0.5463460230071732,1,0,0.0073243648558226
2016-07-01 03:00:00,0.5996979599146495,0.4504371156823272,0.5156927348227905,0.599954734476357,3,0,1,4,7,0.5463460230071732,1,0,-0.0474403452758896
2016-07-01 04:00:00,0.6054800453056013,0.4504371156823272,0.521990495305362,0.599954734476357,4,0,1,4,7,0.5463460230071732,1,0,-0.109252805155479
2016-07-01 05:00:00,0.6112621409843022,0.4639542542900352,0.5408837521383151,0.6207833526509776,5,0,1,4,7,0.5463460230071732,1,0,-0.1247059201253766
2016-07-01 06:00:00,0.6445091731332714,0.5180228568214537,0.6415444886331372,0.731039178428047,6,0,0,4,7,0.5463460230071732,1,0,-0.0924021280442379
2016-07-01 07:00:00,0.6502912688119723,0.5405514398734172,0.6478422245009474,0.813900833957628,7,0,0,4,7,0.5463460230071732,1,0,-0.0853743706703173
2016-07-01 08:00:00,0.6098166196365642,0.5225285670184349,0.4277307289865814,0.6345936285725744,8,0,0,4,7,0.5463460230071732,1,0,-0.1148630460948116
2016-07-01 09:00:00,0.5881553419672513,0.4909885635725088,0.3993392511977973,0.6207833526509776,9,0,0,4,7,0.5463460230071732,1,0,-0.1991364240249749
2016-07-01 10:00:00,0.5968284803414281,0.4909885635725088,0.4277307289865814,0.6481774959097206,10,0,0,4,7,0.5463460230071732,1,0,-0.1485644003172944
2016-07-01 11:00:00,0.6141531939675272,0.4909885635725088,0.4780094800798768,0.6481774959097206,11,0,0,4,7,0.5463460230071732,1,0,-0.1457692760346065
2016-07-01 12:00:00,0.5910463949504764,0.4909885635725088,0.4151352326361998,0.6551958381627444,12,0,0,4,7,0.5275021442931757,1,0,-0.1640175152871918
2016-07-01 13:00:00,0.5910463949504764,0.4999999839664713,0.4434235007315137,0.6757980477529144,13,0,0,4,7,0.5121704877551533,1,0,-0.1766555136004446
2016-07-01 14:00:00,0.5996979599146495,0.5180228568214537,0.3868469891556469,0.6345936285725744,14,0,0,4,7,0.4984759813332918,1,0,-0.1570097122065155
2016-07-01 15:00:00,0.5996979599146495,0.5315400034459261,0.3899442399354365,0.6551958381627444,15,1,0,4,7,0.485600051556207,1,0,-0.2019515026009071
2016-07-01 16:00:00,0.5809277249408125,0.4819771271450176,0.3930414907152259,0.6481774959097206,16,1,0,4,7,0.4815038457901753,1,0,-0.1584072743478592
2016-07-01 17:00:00,0.5924919162982143,0.4774714169480364,0.4402229910287318,0.6481774959097206,17,1,0,4,7,0.4781097531571417,1,0,-0.16543503172178
2016-07-01 18:00:00,0.6112621409843022,0.5135171466244725,0.4402229910287318,0.6481774959097206,18,0,0,4,7,0.4745991938389367,1,0,-0.1345288398626974
2016-07-01 19:00:00,0.6083710982888263,0.5225285670184349,0.4339252551609215,0.6619877718313175,19,0,0,4,7,0.4672253589516502,1,0,-0.1738603893177567
2016-07-01 20:00:00,0.6054800453056013,0.5225285670184349,0.4182324834159892,0.6551958381627444,20,0,0,4,7,0.4609046905904679,1,0,-0.1907110664289981
2016-07-01 21:00:00,0.5996979599146495,0.5180228568214537,0.3993392511977973,0.6551958381627444,21,0,0,4,7,0.4618413967781863,1,0,-0.1878959497723536
2016-07-01 22:00:00,0.5939374376459523,0.5180228568214537,0.3930414907152259,0.6551958381627444,22,0,0,4,7,0.4585637676569314,1,0,-0.1878959497723536
2016-07-01 23:00:00,0.5896008736027384,0.5135171466244725,0.3773487435850547,0.6481774959097206,23,0,0,4,7,0.457979784066875,1,0,-0.1527770791152827
2016-07-02 00:00:00,0.6025890026101254,0.5270342932489449,0.3742514928052652,0.6551958381627444,0,0,1,5,7,0.461139286818581,1,0,-0.1261034822667207
